id,symbol,name,market_cap_rank,current_price,market_cap,total_volume,price_change_percentage_24h,last_updated
bitcoin,BTC,Bitcoin,1,89812.0,1792834460473,34098947931.0,1.51641,2025-12-06T16:49:43.784Z
ethereum,ETH,Ethereum,2,3058.3,369281830285,16741096944.0,1.64386,2025-12-06T16:49:45.987Z
binancecoin,BNB,BNB,4,896.69,123518576202,1190654033.0,2.67627,2025-12-06T16:49:43.486Z
ripple,XRP,XRP,5,2.04,122938353910,2290729026.0,0.44581,2025-12-06T16:49:49.838Z
solana,SOL,Solana,7,133.38,74656902008,2942602945.0,1.28523,2025-12-06T16:49:50.347Z
tron,TRX,TRON,8,0.287605,27220390705,570422458.0,1.1928,2025-12-06T16:49:40.959Z
staked-ether,STETH,Lido Staked Ether,9,3058.67,26510415785,21461116.0,1.54046,2025-12-06T16:49:50.232Z
dogecoin,DOGE,Dogecoin,10,0.140284,22669652103,853012863.0,1.57136,2025-12-06T16:49:45.008Z
cardano,ADA,Cardano,11,0.417889,15297860376,408395760.0,1.58385,2025-12-06T16:49:44.202Z
figure-heloc,FIGR_HELOC,Figure Heloc,12,1.032,14472349096,9568233.0,-0.63825,2025-12-06T16:49:45.228Z
whitebit,WBT,WhiteBIT Coin,13,60.68,13016599352,84173598.0,0.42189,2025-12-06T16:49:41.278Z
wrapped-steth,WSTETH,Wrapped stETH,14,3736.26,12429271820,27401197.0,1.57005,2025-12-06T16:49:41.580Z
bitcoin-cash,BCH,Bitcoin Cash,15,584.25,11661976352,351664137.0,3.5487,2025-12-06T16:49:43.525Z
wrapped-bitcoin,WBTC,Wrapped Bitcoin,16,89715.0,11214984365,124056587.0,1.62811,2025-12-06T16:49:42.009Z
wrapped-beacon-eth,WBETH,Wrapped Beacon ETH,17,3318.02,10833655673,3799447.0,1.63025,2025-12-06T16:49:41.407Z
chainlink,LINK,Chainlink,18,13.96,9744492435,551406441.0,3.3854,2025-12-06T16:49:44.302Z
usds,USDS,USDS,19,0.999393,9509721650,11523284.0,-0.04457,2025-12-06T16:49:40.856Z
binance-bridged-usdt-bnb-smart-chain,BSC-USD,Binance Bridged USDT (BNB Smart Chain),20,1.0,8984772848,844767718.0,0.02808,2025-12-06T16:49:45.160Z
leo-token,LEO,LEO Token,21,9.57,8826701529,484777.0,-1.22834,2025-12-06T16:49:46.867Z
weth,WETH,WETH,22,3060.01,8548053279,85038020.0,1.56992,2025-12-06T16:49:41.710Z
hyperliquid,HYPE,Hyperliquid,23,31.14,8430687359,188037786.0,0.86273,2025-12-06T16:49:46.241Z
stellar,XLM,Stellar,25,0.241449,7811129066,95394589.0,-0.78651,2025-12-06T16:49:50.636Z
wrapped-eeth,WEETH,Wrapped eETH,24,3312.96,7804885722,12819709.0,1.41294,2025-12-06T16:49:41.493Z
monero,XMR,Monero,26,391.26,7209282124,113521268.0,-0.80577,2025-12-06T16:49:47.711Z
ethena-usde,USDE,Ethena USDe,27,0.999575,6706410261,97031713.0,0.04503,2025-12-06T16:49:45.112Z
coinbase-wrapped-btc,CBBTC,Coinbase Wrapped BTC,28,89875.0,6508877235,264146032.0,1.70306,2025-12-06T16:49:44.384Z
litecoin,LTC,Litecoin,29,81.13,6214388423,413999296.0,1.27715,2025-12-06T16:49:47.324Z
avalanche-2,AVAX,Avalanche,30,13.39,5750704148,338928052.0,0.19319,2025-12-06T16:49:43.382Z
sui,SUI,Sui,31,1.54,5743984857,655896676.0,-1.63396,2025-12-06T16:49:50.767Z
hedera-hashgraph,HBAR,Hedera,32,0.13363,5681498609,97207829.0,0.02913,2025-12-06T16:49:45.971Z
zcash,ZEC,Zcash,33,332.42,5462101897,781069814.0,-9.28445,2025-12-06T16:49:42.073Z
shiba-inu,SHIB,Shiba Inu,34,8.41e-06,4949437479,114921714.0,2.2481,2025-12-06T16:49:49.992Z
susds,SUSDS,sUSDS,36,1.077,4206141850,6347803.0,-0.23712,2025-12-06T16:49:50.546Z
world-liberty-financial,WLFI,World Liberty Financial,37,0.149733,4076857759,78351136.0,-0.32405,2025-12-06T16:49:41.492Z
the-open-network,TON,Toncoin,39,1.59,3899003246,74150566.0,3.82485,2025-12-06T16:49:40.757Z
