id,symbol,name,market_cap_rank,current_price,market_cap,total_volume,price_change_percentage_24h,last_updated
bitcoin,BTC,Bitcoin,1,89831.0,1793102802095,34397962430.0,1.59503,2025-12-06T16:46:01.211Z
ethereum,ETH,Ethereum,2,3061.31,369365559454,16833332033.0,1.57244,2025-12-06T16:45:56.464Z
binancecoin,BNB,BNB,4,897.22,123518576202,1128004675.0,2.69891,2025-12-06T16:46:01.112Z
ripple,XRP,XRP,5,2.04,122830141679,2317929400.0,0.12133,2025-12-06T16:45:59.112Z
solana,SOL,Solana,7,133.35,74656902008,2982435628.0,0.88962,2025-12-06T16:45:59.537Z
tron,TRX,TRON,8,0.28751,27220390705,576168088.0,1.09886,2025-12-06T16:46:00.734Z
staked-ether,STETH,Lido Staked Ether,9,3060.36,26518857701,21497094.0,1.3034,2025-12-06T16:45:59.436Z
dogecoin,DOGE,Dogecoin,10,0.140223,22653632763,874090362.0,0.72927,2025-12-06T16:45:53.763Z
cardano,ADA,Cardano,11,0.417708,15297860376,414250571.0,1.04309,2025-12-06T16:45:52.859Z
figure-heloc,FIGR_HELOC,Figure Heloc,12,1.032,14472349096,9568233.0,-0.63825,2025-12-06T16:45:54.116Z
whitebit,WBT,WhiteBIT Coin,13,60.72,13017385846,87537187.0,0.48759,2025-12-06T16:46:01.178Z
wrapped-steth,WSTETH,Wrapped stETH,14,3736.29,12428076478,27413881.0,1.57089,2025-12-06T16:46:01.492Z
bitcoin-cash,BCH,Bitcoin Cash,15,584.19,11661976352,354413648.0,3.53715,2025-12-06T16:45:52.221Z
wrapped-bitcoin,WBTC,Wrapped Bitcoin,16,89725.0,11214984365,127718429.0,1.63939,2025-12-06T16:46:01.749Z
wrapped-beacon-eth,WBETH,Wrapped Beacon ETH,17,3319.24,10837112078,3811740.0,1.46991,2025-12-06T16:46:01.308Z
chainlink,LINK,Chainlink,18,13.99,9744492435,557288527.0,3.33394,2025-12-06T16:45:53.081Z
usds,USDS,USDS,19,0.999799,9512106958,2400825.0,-0.004,2025-12-06T16:46:00.657Z
