id,symbol,name,market_cap_rank,current_price,market_cap,total_volume,price_change_percentage_24h,last_updated
bitcoin,BTC,Bitcoin,1,90167.0,1800090104141,57467445366.0,-1.94083,2025-12-11T15:34:32.232Z
ethereum,ETH,Ethereum,2,3181.64,384608907732,33572747138.0,-4.28153,2025-12-11T15:34:32.098Z
ripple,XRP,XRP,4,2.0,120783898817,4103938954.0,-3.29532,2025-12-11T15:34:38.749Z
binancecoin,BNB,BNB,5,866.4,119322505612,1951450732.0,-2.71397,2025-12-11T15:34:31.969Z
solana,SOL,Solana,7,132.03,74163286343,7356106149.0,-3.59397,2025-12-11T15:34:38.949Z
staked-ether,STETH,Lido Staked Ether,8,3179.69,27793898496,30450470.0,-4.16803,2025-12-11T15:34:38.909Z
tron,TRX,TRON,9,0.281242,26639871543,679462510.0,1.19289,2025-12-11T15:34:40.074Z
dogecoin,DOGE,Dogecoin,10,0.13753,20938391217,1786978878.0,-5.39225,2025-12-11T15:34:33.793Z
cardano,ADA,Cardano,11,0.418519,15341449333,1238570895.0,-9.62697,2025-12-11T15:34:33.117Z
figure-heloc,FIGR_HELOC,Figure Heloc,12,1.021,14420782596,19391616.0,-1.22331,2025-12-11T15:34:34.074Z
whitebit,WBT,WhiteBIT Coin,13,61.2,13114901740,168734301.0,-2.52907,2025-12-11T15:34:30.106Z
wrapped-steth,WSTETH,Wrapped stETH,14,3885.53,12148414456,57944304.0,-4.02559,2025-12-11T15:34:32.942Z
wrapped-beacon-eth,WBETH,Wrapped Beacon ETH,15,3453.18,11302039397,13704420.0,-4.04527,2025-12-11T15:34:30.311Z
wrapped-bitcoin,WBTC,Wrapped Bitcoin,16,89976.0,11258646710,331513162.0,-1.73012,2025-12-11T15:34:38.946Z
bitcoin-cash,BCH,Bitcoin Cash,17,562.13,11225933063,383913217.0,-0.39323,2025-12-11T15:34:32.386Z
usds,USDS,USDS,18,0.999181,9732730745,24253557.0,-0.00492,2025-12-11T15:34:40.015Z
chainlink,LINK,Chainlink,19,13.64,9513540859,868139442.0,-3.04006,2025-12-11T15:34:33.217Z
wrapped-eeth,WEETH,Wrapped eETH,20,3445.12,9310669741,9049627.0,-4.26662,2025-12-11T15:34:30.340Z
binance-bridged-usdt-bnb-smart-chain,BSC-USD,Binance Bridged USDT (BNB Smart Chain),21,1.0,8980773907,1283390146.0,0.07135,2025-12-11T15:34:38.768Z
leo-token,LEO,LEO Token,22,9.42,8686467914,550694.0,0.85487,2025-12-11T15:34:35.733Z
weth,WETH,WETH,23,3181.13,8339626600,181837478.0,-4.27121,2025-12-11T15:34:30.389Z
stellar,XLM,Stellar,24,0.242244,7843947314,184747993.0,-3.12827,2025-12-11T15:34:39.242Z
hyperliquid,HYPE,Hyperliquid,25,27.97,7547453442,363001876.0,-3.27648,2025-12-11T15:34:35.244Z
monero,XMR,Monero,26,404.68,7461153153,177674488.0,0.06795,2025-12-11T15:34:36.571Z
zcash,ZEC,Zcash,27,446.96,7342288321,1322397327.0,4.0477,2025-12-11T15:34:31.155Z
coinbase-wrapped-btc,CBBTC,Coinbase Wrapped BTC,28,90097.0,6559724028,608831243.0,-1.98304,2025-12-11T15:34:38.172Z
ethena-usde,USDE,Ethena USDe,29,0.999368,6544314715,224681933.0,0.03602,2025-12-11T15:34:34.055Z
litecoin,LTC,Litecoin,30,81.08,6214255166,637675745.0,-3.87093,2025-12-11T15:34:36.155Z
sui,SUI,Sui,31,1.55,5791332256,1159583017.0,-3.79189,2025-12-11T15:34:39.901Z
avalanche-2,AVAX,Avalanche,32,13.13,5641512202,539320344.0,-7.9091,2025-12-11T15:34:31.873Z
hedera-hashgraph,HBAR,Hedera,33,0.129732,5517576990,188789716.0,-4.45854,2025-12-11T15:34:34.860Z
shiba-inu,SHIB,Shiba Inu,34,8.29e-06,4885093374,155393547.0,-2.565,2025-12-11T15:34:38.724Z
susds,SUSDS,sUSDS,36,1.07,4418754024,22722424.0,-1.39332,2025-12-11T15:34:39.302Z
world-liberty-financial,WLFI,World Liberty Financial,38,0.14593,3986877351,130889669.0,-4.64117,2025-12-11T15:34:40.837Z
the-open-network,TON,Toncoin,39,1.61,3945629905,110064913.0,-1.77958,2025-12-11T15:34:39.939Z
paypal-usd,PYUSD,PayPal USD,40,0.999611,3852131121,154600064.0,-0.00712,2025-12-11T15:34:37.383Z
crypto-com-chain,CRO,Cronos,41,0.100331,3752326853,19143008.0,-3.95184,2025-12-11T15:34:33.356Z
mantle,MNT,Mantle,42,1.13,3690480535,147969955.0,-2.96264,2025-12-11T15:34:36.097Z
ethena-staked-usde,SUSDE,Ethena Staked USDe,43,1.21,3537284649,34944150.0,0.02716,2025-12-11T15:34:33.956Z
uniswap,UNI,Uniswap,44,5.37,3384575168,366307078.0,-3.63335,2025-12-11T15:34:40.192Z
polkadot,DOT,Polkadot,45,2.04,3351602699,256856797.0,-7.93803,2025-12-11T15:34:37.857Z
aave,AAVE,Aave,46,191.69,2908380547,406139678.0,-3.34961,2025-12-11T15:34:30.781Z
bittensor,TAO,Bittensor,47,290.78,2792407883,166467881.0,-1.89154,2025-12-11T15:34:32.303Z
usd1-wlfi,USD1,USD1,48,0.999227,2746627677,500014336.0,0.00023,2025-12-11T15:34:40.283Z
canton-network,CC,Canton,49,0.073187,2633300434,19012656.0,-2.89231,2025-12-11T15:34:32.607Z
rain,RAIN,Rain,50,0.00766499,2600654812,26618249.0,-4.27715,2025-12-11T15:34:37.960Z
memecore,M,MemeCore,51,1.5,2574624235,21959046.0,3.33584,2025-12-11T15:34:36.189Z
bitget-token,BGB,Bitget Token,52,3.6,2519646938,66131331.0,0.263,2025-12-11T15:34:32.170Z
okb,OKB,OKB,53,113.99,2399236952,64957877.0,-5.61683,2025-12-11T15:34:37.033Z
falcon-finance,USDF,Falcon USD,54,0.999065,2215630606,2861514.0,0.01692,2025-12-11T15:34:34.058Z
tether-gold,XAUT,Tether Gold,55,4230.59,2208384839,287239789.0,0.89452,2025-12-11T15:34:39.570Z
near,NEAR,NEAR Protocol,56,1.66,2133390948,218898215.0,-5.49304,2025-12-11T15:34:36.978Z
ethereum-classic,ETC,Ethereum Classic,57,13.17,2037019848,80199180.0,-3.71298,2025-12-11T15:34:34.233Z
aster-2,ASTER,Aster,59,0.933202,1962081995,308479246.0,-2.58702,2025-12-11T15:34:31.652Z
ethena,ENA,Ethena,58,0.2542,1955169185,312262340.0,-3.65387,2025-12-11T15:34:34.168Z
pepe,PEPE,Pepe,61,4.43e-06,1863504295,510849017.0,-5.66682,2025-12-11T15:34:37.641Z
jito-staked-sol,JITOSOL,Jito Staked SOL,62,164.5,1851791183,12528161.0,-3.61179,2025-12-11T15:34:35.470Z
internet-computer,ICP,Internet Computer,63,3.41,1849873375,101810877.0,-2.8133,2025-12-11T15:34:35.280Z
pi-network,PI,Pi Network,65,0.207455,1733202186,21200878.0,-3.645,2025-12-11T15:34:37.536Z
pump-fun,PUMP,Pump.fun,68,0.00280804,1658494519,115919875.0,-5.24565,2025-12-11T15:34:38.120Z
jupiter-perpetuals-liquidity-provider-token,JLP,Jupiter Perpetuals Liquidity Provider Token,66,4.64,1654323149,59946976.0,-2.20757,2025-12-11T15:34:35.457Z
htx-dao,HTX,HTX DAO,70,1.65e-06,1534712522,11192915.0,0.53873,2025-12-11T15:34:34.918Z
ether-fi-staked-eth,EETH,ether.fi Staked ETH,73,3191.78,1531576365,372016.0,-4.06332,2025-12-11T15:34:33.966Z
hash-2,HASH,Provenance Blockchain,71,0.02925077,1524979989,15321.34,-1.0878,2025-12-11T15:34:34.751Z
ondo-finance,ONDO,Ondo,72,0.467537,1476815961,107295392.0,-5.47561,2025-12-11T15:34:37.077Z
pax-gold,PAXG,PAX Gold,74,4245.2,1446567373,134895492.0,0.98765,2025-12-11T15:34:37.377Z
worldcoin-wld,WLD,Worldcoin,75,0.587461,1437129587,128867950.0,-6.78456,2025-12-11T15:34:30.629Z
global-dollar,USDG,Global Dollar,76,0.999949,1385079052,55600696.0,0.01395,2025-12-11T15:34:34.644Z
kucoin-shares,KCS,KuCoin,77,10.56,1372014104,7100617.0,-0.57208,2025-12-11T15:34:35.615Z
hashnote-usyc,USYC,Circle USYC,78,1.11,1363691513,666110.0,0.00905,2025-12-11T15:34:34.735Z
rocket-pool-eth,RETH,Rocket Pool ETH,79,3652.92,1332232911,4907703.0,-4.33025,2025-12-11T15:34:38.364Z
bfusd,BFUSD,BFUSD,81,0.999388,1319339971,18584693.0,0.00943,2025-12-11T15:34:31.982Z
ripple-usd,RLUSD,Ripple USD,82,0.999705,1296749539,91232122.0,0.00344,2025-12-11T15:34:38.322Z
kaspa,KAS,Kaspa,84,0.04715136,1266464984,32847704.0,-5.96435,2025-12-11T15:34:35.521Z
polygon-ecosystem-token,POL,POL (ex-MATIC),85,0.119531,1262583068,74742413.0,-3.25382,2025-12-11T15:34:37.723Z
aptos,APT,Aptos,86,1.71,1256262573,266207019.0,-5.35853,2025-12-11T15:34:31.720Z
sky,SKY,Sky,87,0.05409,1243674444,12114987.0,-3.52408,2025-12-11T15:34:38.658Z
gatechain-token,GT,Gate,89,10.29,1208047238,2721596.0,-2.60281,2025-12-11T15:34:34.389Z
quant-network,QNT,Quant,88,82.97,1207665980,21867959.0,-2.98914,2025-12-11T15:34:37.955Z
arbitrum,ARB,Arbitrum,90,0.206671,1161615938,157701471.0,-5.2584,2025-12-11T15:34:31.889Z
kelp-dao-restaked-eth,RSETH,Kelp DAO Restaked ETH,92,3374.18,1158104482,27750.0,-4.1792,2025-12-11T15:34:35.530Z
wbnb,WBNB,Wrapped BNB,91,866.06,1157458478,539193218.0,-2.60379,2025-12-11T15:34:30.639Z
binance-staked-sol,BNSOL,Binance Staked SOL,93,143.39,1153569528,2692786.0,-3.70396,2025-12-11T15:34:32.035Z
algorand,ALGO,Algorand,94,0.129784,1145316523,66544310.0,-4.61243,2025-12-11T15:34:31.824Z
official-trump,TRUMP,Official Trump,95,5.67,1133513413,237978031.0,-2.32157,2025-12-11T15:34:37.048Z
liquid-staked-ethereum,LSETH,Liquid Staked ETH,96,3409.4,1058932745,56522.0,-4.25682,2025-12-11T15:34:35.788Z
cosmos,ATOM,Cosmos Hub,97,2.18,1054011243,63079288.0,-3.91737,2025-12-11T15:34:33.452Z
ignition-fbtc,FBTC,Function FBTC,98,89904.0,1045375158,654385.0,-2.02283,2025-12-11T15:34:35.067Z
vechain,VET,VeChain,99,0.01176779,1014775116,33381854.0,-4.27378,2025-12-11T15:34:40.266Z
flare-networks,FLR,Flare,100,0.01252912,1007887747,6114679.0,-3.55795,2025-12-11T15:34:34.274Z
lombard-staked-btc,LBTC,Lombard Staked BTC,101,90130.0,1007849340,15352036.0,-1.91093,2025-12-11T15:34:35.847Z
filecoin,FIL,Filecoin,102,1.38,999341223,209682339.0,-7.52646,2025-12-11T15:34:34.170Z
solv-btc,SOLVBTC,Solv Protocol BTC,103,89946.0,995180990,196635.0,-1.95997,2025-12-11T15:34:38.728Z
nexo,NEXO,NEXO,104,0.960563,960675495,9826351.0,-2.12169,2025-12-11T15:34:36.885Z
xdce-crowd-sale,XDC,XDC Network,105,0.04934828,912474199,29448013.0,-1.58181,2025-12-11T15:34:30.835Z
sei-network,SEI,Sei,106,0.134751,858332378,239695473.0,-4.37172,2025-12-11T15:34:39.092Z
render-token,RENDER,Render,108,1.59,823381773,61365526.0,-3.96506,2025-12-11T15:34:38.225Z
midnight-3,NIGHT,Midnight,111,0.04727749,791127436,274506405.0,-24.63641,2025-12-11T15:34:36.426Z
kinetic-staked-hype,KHYPE,Kinetiq Staked HYPE,112,28.01,773837589,18278829.0,-3.65004,2025-12-11T15:34:35.925Z
wrappedm-by-m0,WM,WrappedM by M^0,113,0.999893,766612343,1713449.0,0.01439,2025-12-11T15:34:30.622Z
bonk,BONK,Bonk,115,9.14e-06,756863347,134520755.0,-4.24256,2025-12-11T15:34:32.596Z
mantle-staked-ether,METH,Mantle Staked Ether,116,3443.31,749279582,4964839.0,-4.15341,2025-12-11T15:34:36.066Z
pancakeswap-token,CAKE,PancakeSwap,117,2.2,740639578,70148305.0,-6.03821,2025-12-11T15:34:37.532Z
renzo-restaked-eth,EZETH,Renzo Restaked ETH,118,3392.45,736628766,1154969.0,-4.23629,2025-12-11T15:34:38.077Z
wrapped-flare,WFLR,Wrapped Flare,120,0.01252139,706969692,3625866.0,-3.45682,2025-12-11T15:34:30.511Z
first-digital-usd,FDUSD,First Digital USD,121,0.998497,698433401,840017466.0,0.02928,2025-12-11T15:34:34.486Z
ondo-us-dollar-yield,USDY,Ondo US Dollar Yield,123,1.11,690245194,2420232.0,0.70867,2025-12-11T15:34:37.000Z
pudgy-penguins,PENGU,Pudgy Penguins,124,0.01095253,689991741,247395717.0,-9.9346,2025-12-11T15:34:37.920Z
jupiter-exchange-solana,JUP,Jupiter,126,0.213347,669764539,38646668.0,-7.26251,2025-12-11T15:34:35.639Z
story-2,IP,Story,127,2.0,667183042,35991785.0,-6.32532,2025-12-11T15:34:39.138Z
usdd,USDD,USDD,128,1.0,663081304,15367571.0,0.01877,2025-12-11T15:34:40.009Z
ultima,ULTIMA,Ultima,129,6551.32,653540276,18147867.0,3.00995,2025-12-11T15:34:39.817Z
beldex,BDX,Beldex,130,0.087115,651056100,10017979.0,0.53654,2025-12-11T15:34:33.780Z
morpho,MORPHO,Morpho,132,1.18,639157068,14057056.0,-7.30422,2025-12-11T15:34:36.638Z
jupiter-staked-sol,JUPSOL,Jupiter Staked SOL,134,152.29,636770744,4280011.0,-3.67341,2025-12-11T15:34:35.401Z
stakewise-v3-oseth,OSETH,StakeWise Staked ETH,133,3288.92,630610991,361142.0,-4.5041,2025-12-11T15:34:38.990Z
fetch-ai,FET,Artificial Superintelligence Alliance,136,0.240058,625774031,115643298.0,-6.93237,2025-12-11T15:34:34.235Z
dash,DASH,Dash,138,48.53,607770056,149613773.0,0.12517,2025-12-11T15:34:36.521Z
myx-finance,MYX,MYX Finance,139,3.08,588016728,37483292.0,5.95018,2025-12-11T15:34:36.674Z
optimism,OP,Optimism,140,0.304611,578895200,92881895.0,-8.33377,2025-12-11T15:34:37.279Z
spx6900,SPX,SPX6900,141,0.606527,565494222,30905290.0,-5.37475,2025-12-11T15:34:38.922Z
aerodrome-finance,AERO,Aerodrome Finance,142,0.6198,562977936,36471657.0,-4.99673,2025-12-11T15:34:31.611Z
tezos,XTZ,Tezos,144,0.52049,556900736,40492243.0,4.928,2025-12-11T15:34:39.575Z
curve-dao-token,CRV,Curve DAO,143,0.386823,554926154,82933904.0,-5.12698,2025-12-11T15:34:33.388Z
tbtc,TBTC,tBTC,145,89907.0,548637356,31480973.0,-1.75494,2025-12-11T15:34:39.437Z
usual-usd,USD0,Usual USD,146,0.995891,547061592,3367587.0,-0.24811,2025-12-11T15:34:40.086Z
injective-protocol,INJ,Injective,147,5.47,546994413,94869751.0,-3.69071,2025-12-11T15:34:35.352Z
blockstack,STX,Stacks,149,0.292535,531821028,18520122.0,-5.17347,2025-12-11T15:34:32.504Z
virtual-protocol,VIRTUAL,Virtuals Protocol,148,0.807744,530406275,103600010.0,-5.78267,2025-12-11T15:34:30.393Z
lido-dao,LDO,Lido DAO,151,0.585135,523191261,106275054.0,-6.77506,2025-12-11T15:34:35.809Z
starknet,STRK,Starknet,152,0.107668,516905922,78483326.0,-1.68544,2025-12-11T15:34:39.243Z
gteth,GTETH,GTETH,153,3184.15,511730828,239542.0,-4.08334,2025-12-11T15:34:34.605Z
true-usd,TUSD,TrueUSD,155,0.997426,493216338,11889534.0,0.01966,2025-12-11T15:34:39.990Z
celestia,TIA,Celestia,156,0.577314,492671349,80349981.0,-5.13079,2025-12-11T15:34:32.760Z
ether-fi,ETHFI,Ether.fi,158,0.790756,481351701,53393970.0,-9.27462,2025-12-11T15:34:34.008Z
telcoin,TEL,Telcoin,160,0.0050395,479185863,2904448.0,-8.12763,2025-12-11T15:34:39.506Z
stader-ethx,ETHX,Stader ETHx,159,3421.28,477929273,19470.41,-4.24092,2025-12-11T15:34:38.903Z
msol,MSOL,Marinade Staked SOL,162,177.52,468587745,4510903.0,-3.42529,2025-12-11T15:34:36.636Z
the-graph,GRT,The Graph,163,0.04371219,464705712,32399017.0,-4.36367,2025-12-11T15:34:39.928Z
wrapped-apecoin,WAPE,Wrapped ApeCoin,164,0.228001,457853390,543653.0,-4.6618,2025-12-11T15:34:30.245Z
gho,GHO,GHO,166,0.999563,452406916,4249208.0,-0.07856,2025-12-11T15:34:34.469Z
floki,FLOKI,FLOKI,167,4.639e-05,448204338,66984133.0,-6.5021,2025-12-11T15:34:34.343Z
kaia,KAIA,Kaia,168,0.075069,439654704,14727401.0,-1.89131,2025-12-11T15:34:35.442Z
doublezero,2Z,DoubleZero,170,0.124758,433532770,14747116.0,-4.14407,2025-12-11T15:34:33.694Z
sweth,SWETH,Swell Ethereum,173,3510.37,425948440,24760.0,-3.5001,2025-12-11T15:34:39.259Z
iota,IOTA,IOTA,171,0.101493,425771749,9001864.0,-4.09672,2025-12-11T15:34:35.263Z
newton-project,AB,AB,172,0.00468203,425753435,8354436.0,-0.60074,2025-12-11T15:34:36.815Z
ethereum-name-service,ENS,Ethereum Name Service,174,10.93,416997613,35324992.0,-5.13519,2025-12-11T15:34:34.045Z
bittorrent,BTT,BitTorrent,175,4.17168e-07,411293145,39919723.0,0.10911,2025-12-11T15:34:32.268Z
coinbase-wrapped-staked-eth,CBETH,Coinbase Wrapped Staked ETH,176,3547.62,407742433,7346766.0,-4.10253,2025-12-11T15:34:32.933Z
usdb,USDB,USDB,178,1.003,407302650,675507.0,2.09697,2025-12-11T15:34:39.996Z
trust-wallet-token,TWT,Trust Wallet,179,0.974975,406304174,18926335.0,-3.53005,2025-12-11T15:34:40.043Z
bitcoin-cash-sv,BSV,Bitcoin SV,180,20.16,402414982,13286439.0,-1.17075,2025-12-11T15:34:34.548Z
basic-attention-token,BAT,Basic Attention,181,0.266185,398169390,57625184.0,0.37104,2025-12-11T15:34:32.067Z
sun-token,SUN,Sun Token,182,0.02069545,397238946,33380171.0,1.47941,2025-12-11T15:34:39.236Z
sbtc-2,SBTC,sBTC,183,90041.0,395345958,33156.0,-1.95535,2025-12-11T15:34:38.362Z
dogwifcoin,WIF,dogwifhat,184,0.391069,390930127,207686153.0,-3.61956,2025-12-11T15:34:33.808Z
just,JST,JUST,186,0.03827998,378923722,26364154.0,0.34468,2025-12-11T15:34:35.424Z
olympus,OHM,Olympus,187,22.62,371105306,651080.0,-1.84686,2025-12-11T15:34:36.973Z
merlin-chain,MERL,Merlin Chain,188,0.352484,370724950,31367023.0,2.87386,2025-12-11T15:34:36.189Z
conflux-token,CFX,Conflux,189,0.071676,369737220,17911562.0,-4.88779,2025-12-11T15:34:33.082Z
pendle,PENDLE,Pendle,190,2.24,368268990,52061999.0,-5.59015,2025-12-11T15:34:37.532Z
pyth-network,PYTH,Pyth Network,191,0.063872,367550201,25247129.0,-6.63437,2025-12-11T15:34:37.965Z
bitcoin-avalanche-bridged-btc-b,BTC.B,Avalanche Bridged BTC (Avalanche),192,90131.0,367062249,46350883.0,-1.90809,2025-12-11T15:34:32.233Z
decred,DCR,Decred,193,21.01,361243023,4732147.0,-3.29381,2025-12-11T15:34:33.351Z
apenft,NFT,AINFT,194,3.62225e-07,358489186,27663306.0,-0.24054,2025-12-11T15:34:31.390Z
the-sandbox,SAND,The Sandbox,195,0.136002,355146970,47948443.0,-5.22152,2025-12-11T15:34:39.696Z
fartcoin,FARTCOIN,Fartcoin,197,0.349126,351860707,186417399.0,-2.95038,2025-12-11T15:34:34.152Z
sonic-3,S,Sonic,198,0.092051,348301683,52813091.0,-3.69907,2025-12-11T15:34:38.875Z
chiliz,CHZ,Chiliz,200,0.03349176,339871080,77222587.0,2.67864,2025-12-11T15:34:33.265Z
theta-token,THETA,Theta Network,199,0.339149,339343719,26376141.0,-2.70216,2025-12-11T15:34:39.577Z
gnosis,GNO,Gnosis,202,128.26,338800999,7536589.0,-2.97105,2025-12-11T15:34:34.584Z
helium,HNT,Helium,203,1.81,338079203,4963118.0,-4.64203,2025-12-11T15:34:34.805Z
flow,FLOW,Flow,201,0.207653,338009669,12278553.0,-5.53051,2025-12-11T15:34:34.377Z
euro-coin,EURC,EURC,205,1.17,337732746,43839435.0,0.83629,2025-12-11T15:34:34.117Z
pippin,PIPPIN,pippin,206,0.33451,337640164,74080924.0,0.99646,2025-12-11T15:34:37.598Z
jasmycoin,JASMY,JasmyCoin,207,0.00681463,337176218,25166776.0,-3.99027,2025-12-11T15:34:35.385Z
gala,GALA,GALA,204,0.00718271,336847620,57962501.0,-4.94559,2025-12-11T15:34:34.398Z
benqi-liquid-staked-avax,SAVAX,BENQI Liquid Staked AVAX,209,16.18,329322532,2010201.0,-8.15367,2025-12-11T15:34:31.956Z
usx,USX,USX,210,0.999183,326793764,1146368.0,-0.00901,2025-12-11T15:34:40.023Z
kinesis-gold,KAU,Kinesis Gold,211,136.09,324749735,306765.0,1.56335,2025-12-11T15:34:35.532Z
vision-3,VSN,Vision,212,0.093828,324007451,9312928.0,-3.9328,2025-12-11T15:34:40.246Z
plasma,XPL,Plasma,213,0.161361,319965486,105101857.0,-5.80588,2025-12-11T15:34:37.703Z
cap-usd,CUSD,Cap USD,214,0.99943,311132102,19254.62,0.02469,2025-12-11T15:34:32.621Z
frax-ether,FRXETH,Frax Ether,216,3145.66,310297701,1492108.0,-4.42217,2025-12-11T15:34:34.338Z
stable-2,STABLE,​​Stable,217,0.01633863,304728579,260617663.0,-21.41762,2025-12-11T15:34:38.930Z
syrup,SYRUP,Maple Finance,218,0.265567,302897169,32797979.0,-2.24398,2025-12-11T15:34:39.392Z
mantle-restaked-eth,CMETH,Mantle Restaked ETH,219,3449.21,301986531,14225976.0,-3.69023,2025-12-11T15:34:36.017Z
swissborg,BORG,SwissBorg,222,0.305051,300248897,1114617.0,0.98715,2025-12-11T15:34:39.325Z
terra-luna,LUNC,Terra Luna Classic,221,5.438e-05,298107439,197994145.0,-17.82282,2025-12-11T15:34:39.540Z
unit-bitcoin,UBTC,Unit Bitcoin,226,90498.0,296351211,63386726.0,-1.63714,2025-12-11T15:34:40.073Z
raydium,RAY,Raydium,227,1.094,294182229,35555611.0,-6.05733,2025-12-11T15:34:38.076Z
compound-governance-token,COMP,Compound,228,30.34,293344005,20042836.0,-3.2541,2025-12-11T15:34:33.185Z
crvusd,CRVUSD,crvUSD,223,0.999445,292255385,29253126.0,0.18385,2025-12-11T15:34:33.308Z
mimblewimblecoin,MWC,MimbleWimbleCoin,229,26.45,290934723,132354.0,-3.64081,2025-12-11T15:34:36.364Z
vaulta,A,Vaulta,231,0.180582,290888533,26872410.0,-2.40474,2025-12-11T15:34:40.267Z
