id,symbol,name,market_cap_rank,current_price,market_cap,total_volume,price_change_percentage_24h,last_updated
bitcoin,BTC,Bitcoin,1,89902.0,1794422172856,36307072186.0,0.75669,2025-12-06T16:25:13.281Z
ethereum,ETH,Ethereum,2,3051.73,368284895573,17517720246.0,-0.51093,2025-12-06T16:25:13.116Z
binancecoin,BNB,BNB,4,894.69,123152757234,1233272439.0,1.30159,2025-12-06T16:25:12.726Z
ripple,XRP,XRP,5,2.04,122789797661,2314807535.0,-1.1512,2025-12-06T16:25:08.710Z
solana,SOL,Solana,7,133.26,74621514186,3102990967.0,-0.36011,2025-12-06T16:25:09.163Z
tron,TRX,TRON,8,0.288376,27358725976,578190995.0,1.03884,2025-12-06T16:25:10.151Z
staked-ether,STETH,Lido Staked Ether,9,3049.83,26431161131,21747360.0,-0.54152,2025-12-06T16:25:08.865Z
dogecoin,DOGE,Dogecoin,10,0.14005,22624874145,872154108.0,-0.73753,2025-12-06T16:25:14.206Z
cardano,ADA,Cardano,11,0.415971,15244403819,429474646.0,-1.32699,2025-12-06T16:25:13.603Z
figure-heloc,FIGR_HELOC,Figure Heloc,12,1.032,14301291343,10841765.0,-0.7492,2025-12-06T16:25:14.575Z
whitebit,WBT,WhiteBIT Coin,13,60.69,13010500187,92450917.0,-0.02084,2025-12-06T16:25:10.485Z
wrapped-steth,WSTETH,Wrapped stETH,14,3725.49,12387196943,27495477.0,-0.57214,2025-12-06T16:25:10.740Z
bitcoin-cash,BCH,Bitcoin Cash,15,585.62,11695656017,360274787.0,2.28864,2025-12-06T16:25:12.860Z
wrapped-bitcoin,WBTC,Wrapped Bitcoin,16,89740.0,11222677826,140684815.0,0.67811,2025-12-06T16:25:11.132Z
wrapped-beacon-eth,WBETH,Wrapped Beacon ETH,17,3309.43,10802813329,3873072.0,-0.54505,2025-12-06T16:25:10.955Z
chainlink,LINK,Chainlink,18,13.91,9692766089,571633467.0,1.14662,2025-12-06T16:25:13.643Z
usds,USDS,USDS,19,0.999412,9512496396,12234151.0,-0.05883,2025-12-06T16:25:10.006Z
binance-bridged-usdt-bnb-smart-chain,BSC-USD,Binance Bridged USDT (BNB Smart Chain),20,1.0,8988366740,927923966.0,-0.05358,2025-12-06T16:25:13.133Z
leo-token,LEO,LEO Token,21,9.57,8827669692,493273.0,-0.83132,2025-12-06T16:25:16.300Z
weth,WETH,WETH,22,3050.96,8523239718,91821904.0,-0.53945,2025-12-06T16:25:11.266Z
hyperliquid,HYPE,Hyperliquid,23,31.08,8416156033,200295123.0,-0.83491,2025-12-06T16:25:15.652Z
stellar,XLM,Stellar,24,0.24089,7794473966,98509539.0,-2.15948,2025-12-06T16:25:09.419Z
wrapped-eeth,WEETH,Wrapped eETH,25,3303.16,7781051761,12715292.0,-0.5539,2025-12-06T16:25:10.701Z
monero,XMR,Monero,26,391.42,7215371935,114738692.0,-1.53128,2025-12-06T16:25:17.166Z
